id,code,name,account_type,tag_ids,reconcile,name@vi_VN
chart111,111,Cash on hand,asset_cash,l10n_vn_viin.account_account_tag_111,False,"Tiền mặt"
chart1112,1112,Foreign currency,asset_cash,l10n_vn_viin.account_account_tag_111,False,"Ngoại tệ"
chart1113,1113,Monetary Gold,asset_cash,l10n_vn_viin.account_account_tag_111,False,"Vàng tiền tệ"
chart112,112,Cash in banks,asset_cash,l10n_vn_viin.account_account_tag_112,False,"Tiền gửi Ngân hàng"
chart1121,1121,,,l10n_vn_viin.account_account_tag_112,,
chart1122,1122,,,l10n_vn_viin.account_account_tag_112,,
chart1123,1123,,,l10n_vn_viin.account_account_tag_112,,
chart113,113,Cash in transit,asset_cash,l10n_vn_viin.account_account_tag_113,True,"Tiền đang chuyển"
chart1132,1132,Foreign currency,asset_cash,l10n_vn_viin.account_account_tag_113,True,"Ngoại tệ"
chart121,121,Trading Securities,asset_current,l10n_vn_viin.account_account_tag_121,False,"Chứng khoán kinh doanh"
chart1211,1211,,,"account.account_tag_operating,l10n_vn_viin.account_account_tag_121,l10n_vn_viin.account_account_tag_1211",,
chart1212,1212,,,"account.account_tag_operating,l10n_vn_viin.account_account_tag_121,l10n_vn_viin.account_account_tag_1212",,
chart1218,1218,,asset_current,"account.account_tag_operating,l10n_vn_viin.account_account_tag_121",,
chart128,128,Held to maturity investments,asset_current,l10n_vn_viin.account_account_tag_128,True,"Đầu tư nắm giữ đến ngày đáo hạn"
chart1281,1281,,,"l10n_vn_viin.account_account_tag_128,l10n_vn_viin.account_account_tag_1281",True,
chart1282,1282,,,"l10n_vn_viin.account_account_tag_128,l10n_vn_viin.account_account_tag_1282",True,
chart1283,1283,,,"l10n_vn_viin.account_account_tag_128,l10n_vn_viin.account_account_tag_1283",True,
chart1288,1288,,,"l10n_vn_viin.account_account_tag_128,l10n_vn_viin.account_account_tag_1288",True,
chart131,131,,,l10n_vn_viin.account_account_tag_131,True,
chart132,132,,,,True,
chart133,133,Deductible VAT,asset_current,l10n_vn_viin.account_account_tag_133,True,"Thuế GTGT được khấu trừ"
chart1331,1331,,,l10n_vn_viin.account_account_tag_133,True,
chart1332,1332,,,l10n_vn_viin.account_account_tag_133,True,
