id,code,name,account_type,tag_ids,reconcile,name@vi_VN
c133_chart111,111,Cash on hand,asset_cash,l10n_vn_viin.account_account_tag_111,,"Tiền mặt"
c133_chart1112,1112,Foreign currency,asset_cash,l10n_vn_viin.account_account_tag_111,,"Ngoại tệ"
c133_chart112,112,Cash in banks,asset_cash,l10n_vn_viin.account_account_tag_112,,"Tiền gửi Ngân hàng"
c133_chart1121,1121,Vietnam Dong,asset_cash,l10n_vn_viin.account_account_tag_112,,"Tiền Việt Nam"
c133_chart1122,1122,Foreign currency,asset_cash,l10n_vn_viin.account_account_tag_112,,"Ngoại tệ"
c133_chart113,113,Cash in transit - VND,asset_cash,l10n_vn_viin.account_account_tag_113,True,"Tiền đang chuyển"
c133_chart1132,1132,Foreign currency,asset_current,l10n_vn_viin.account_account_tag_113,True,"Ngoại tệ"
c133_chart121,121,Trading Securities,asset_current,l10n_vn_viin.account_account_tag_121,,"Chứng khoán kinh doanh"
c133_chart128,128,Held to maturity investments,asset_current,l10n_vn_viin.account_account_tag_128,True,"Đầu tư nắm giữ đến ngày đáo hạn"
c133_chart1281,1281,Term deposits,asset_current,"l10n_vn_viin.account_account_tag_128,l10n_vn_viin.account_account_tag_1281",True,"Tiền gửi có kỳ hạn"
c133_chart1288,1288,Other held to maturity investments,asset_current,"l10n_vn_viin.account_account_tag_128,l10n_vn_viin.account_account_tag_1288",True,"Các khoản đầu tư khác nắm giữ đến ngày đáo hạn"
c133_chart131,131,Trade receivables,asset_receivable,l10n_vn_viin.account_account_tag_131,True,"Phải thu của khách hàng"
c133_chart133,133,Deductible VAT,asset_current,l10n_vn_viin.account_account_tag_133,True,"Thuế GTGT của khách hàng"
c133_chart1331,1331,VAT on purchase of goods and services,asset_current,l10n_vn_viin.account_account_tag_133,True,"Thuế GTGT được khấu trừ của hàng hóa, dịch vụ"
c133_chart1332,1332,VAT on purchase of fixed assets,asset_current,l10n_vn_viin.account_account_tag_133,True,"Thuế GTGT được khấu trừ của TSCĐ"
c133_chart136,136,Intra-company receivables,asset_receivable,l10n_vn_viin.account_account_tag_136,True,"Phải thu nội bộ"
c133_chart1361,1361,Working capital provided to sub-units,asset_receivable,"l10n_vn_viin.account_account_tag_136,l10n_vn_viin.account_account_tag_1361",True,"Vốn kinh doanh ở đơn vị trực thuộc"
c133_chart1368,1368,Other intra-company receivables,asset_receivable,"l10n_vn_viin.account_account_tag_136,l10n_vn_viin.account_account_tag_1368",True,"Phải thu nội bộ khác"
c133_chart138,138,Other receivables,asset_receivable,l10n_vn_viin.account_account_tag_138,True,"Phải thu khác"
c133_chart1381,1381,Shortage of assets awaiting resolution,asset_current,"account.account_tag_operating,l10n_vn_viin.account_account_tag_138,l10n_vn_viin.account_account_tag_1381",True,"Tài sản thiếu chờ xử lý"
c133_chart1386,1386,"Mortgage, collaterals and deposits",asset_receivable,"account.account_tag_operating,l10n_vn_viin.account_account_tag_1386_c133",True,"Cầm cố, thế chấp, ký quỹ, ký cược"
c133_chart1388,1388,Others receivables,asset_receivable,"account.account_tag_operating,l10n_vn_viin.account_account_tag_138,l10n_vn_viin.account_account_tag_1388",True,"Phải thu khác"
c133_chart141,141,Advances,asset_receivable,l10n_vn_viin.account_account_tag_141,True,"Tạm ứng"
c133_chart151,151,Goods in transit,asset_current,"account.account_tag_operating,l10n_vn_viin.account_account_tag_151",,"Hàng mua đang đi đường"
c133_chart152,152,Raw materials,asset_current,"account.account_tag_operating,l10n_vn_viin.account_account_tag_152",,"Nguyên liệu, vật liệu"
c133_chart153,153,Tools and supplies,asset_current,"account.account_tag_operating,l10n_vn_viin.account_account_tag_153",,"Công cụ, dụng cụ"
c133_chart154,154,Work in progress,asset_current,"account.account_tag_operating,l10n_vn_viin.account_account_tag_154",,"Chi phí sản xuất, kinh doanh dở dang"
c133_chart155,155,Finished goods,asset_current,"account.account_tag_operating,l10n_vn_viin.account_account_tag_155",,"Thành phẩm"
c133_chart156,156,Merchandise inventories,asset_current,"account.account_tag_operating,l10n_vn_viin.account_account_tag_156",,"Hàng hóa"
c133_chart157,157,Outward goods on consignment,asset_current,"account.account_tag_operating,l10n_vn_viin.account_account_tag_157",,"Hàng gửi đi bán"
c133_chart211,211,Fixed assets,asset_fixed,l10n_vn_viin.account_account_tag_211_c133,,"Tài sản cố định"
