"id","sequence","name","description","invoice_label","amount","amount_type","type_tax_use","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","include_base_amount","description@vi_VN"
"tax_purchase_vat10","1","","","","","","","","","","","","",""
"tax_purchase_vat8","2","8%","Deductible VAT 8%","Deductible VAT 8%","8.0","percent","purchase","tax_group_8","base","invoice","+Untaxed Purchase of Goods and Services taxed 8%","","False","Thuế GTGT được khấu trừ 8%"
"","","","","","","","","","tax","invoice","+VAT on purchase of goods and services 8%","chart1331","",""
"","","","","","","","","","base","refund","-Untaxed Purchase of Goods and Services taxed 8%","","",""
"","","","","","","","","","tax","refund","-VAT on purchase of goods and services 8%","chart1331","",""
"tax_purchase_vat5","3","","","","","","","","","","","","",""
"tax_purchase_vat0","4","","","","","","","","","","","","",""
"tax_purchase_vat_exemption","5","","","","","","","","","","","","",""
"tax_import_10","6","10% Import Tax","Import Tax 10%","Import Tax 10%","10.0","percent","purchase","tax_group_import","base","invoice","+tax_import_10_base","","True","Thuế nhập khẩu 10%"
"","","","","","","","","","tax","invoice","+tax_import_10","chart3333","",""
"","","","","","","","","","base","refund","-tax_import_10_base","","",""
"","","","","","","","","","tax","refund","-tax_import_10","chart3333","",""
"tax_import_5","7","5% Import Tax","Import Tax 5%","Import Tax 5%","5.0","percent","purchase","tax_group_import","base","invoice","+tax_import_5_base","","True","Thuế nhập khẩu 5%"
"","","","","","","","","","tax","invoice","+tax_import_5","chart3333","",""
"","","","","","","","","","base","refund","-tax_import_5_base","","",""
"","","","","","","","","","tax","refund","-tax_import_5","chart3333","",""
"tax_import_0","8","0% Import Tax","Import Tax 0%","Import Tax 0%","0.0","percent","purchase","tax_group_import","base","invoice","+tax_import_0_base","","True","Thuế nhập khẩu 0%"
"","","","","","","","","","tax","invoice","+tax_import_0","chart3333","",""
"","","","","","","","","","base","refund","-tax_import_0_base","","",""
"","","","","","","","","","tax","refund","-tax_import_0","chart3333","",""
"tax_purchase_import_10","9","10% Import VAT","Deductible VAT 10% For Imported Goods","Deductible VAT 10% For Imported Goods","10.0","percent","purchase","tax_group_10","base","invoice","+tax_purchase_import_10_base","","False","Thuế GTGT được khấu trừ cho hàng nhập khẩu 10%"
"","","","","","","","","","tax","invoice","+tax_purchase_import_10","chart33312","",""
"","","","","","","","","","base","refund","-tax_purchase_import_10_base","","",""
"","","","","","","","","","tax","refund","-tax_purchase_import_10","chart33312","",""
"tax_purchase_import_5","10","5% Import VAT","Deductible VAT 5% For Imported Goods","Deductible VAT 5% For Imported Goods","5.0","percent","purchase","tax_group_5","base","invoice","+tax_purchase_import_5_base","","False","Thuế GTGT được khấu trừ cho hàng nhập khẩu 5%"
"","","","","","","","","","tax","invoice","+tax_purchase_import_5","chart33312","",""
"","","","","","","","","","base","refund","-tax_purchase_import_5_base","","",""
"","","","","","","","","","tax","refund","-tax_purchase_import_5","chart33312","",""
"tax_purchase_import_0","11","0% Import VAT","Deductible VAT 0% For Imported Goods","Deductible VAT 0% For Imported Goods","0.0","percent","purchase","tax_group_0","base","invoice","+tax_purchase_import_0_base","","False","Thuế GTGT được khấu trừ cho hàng nhập khẩu 0%"
"","","","","","","","","","tax","invoice","","","",""
"","","","","","","","","","base","refund","-tax_purchase_import_0_base","","",""
"","","","","","","","","","tax","refund","","","",""
"tax_sale_vat10","12","","","","","","","","","","","","",""
"tax_sale_vat8","13","8%","Value Added Tax (VAT) 8%","Value Added Tax (VAT) 8%","8.0","percent","sale","tax_group_8","base","invoice","+Untaxed sales of goods and services taxed 8%","","False","Thuế GTGT phải nộp 8%"
"","","","","","","","","","tax","invoice","+VAT on sales of goods and services 8%","chart33311","",""
"","","","","","","","","","base","refund","-Untaxed sales of goods and services taxed 8%","","",""
"","","","","","","","","","tax","refund","-VAT on sales of goods and services 8%","chart33311","",""
"tax_sale_vat5","14","","","","","","","","","","","","",""
"tax_sale_vat0","15","","","","","","","","","","","","",""
"tax_sale_vat_exemption","16","","","","","","","","","","","","",""
"tax_export_10","17","10% Export Tax","Export Tax 10%","Export Tax 10%","10.0","percent","sale","tax_group_export","base","invoice","+tax_export_10_base","","True","Thuế xuất khẩu 10%"
"","","","","","","","","","tax","invoice","+tax_export_10","chart3333","",""
"","","","","","","","","","base","refund","-tax_export_10_base","","",""
"","","","","","","","","","tax","refund","-tax_export_10","chart3333","",""
"tax_export_5","18","5% Export Tax","Export Tax 5%","Export Tax 5%","5.0","percent","sale","tax_group_export","base","invoice","+tax_export_5_base","","True","Thuế xuất khẩu 5%"
"","","","","","","","","","tax","invoice","+tax_export_5","chart3333","",""
"","","","","","","","","","base","refund","-tax_export_5_base","","",""
"","","","","","","","","","tax","refund","-tax_export_5","chart3333","",""
"tax_export_0","19","0% Export Tax","Export Tax 0%","Export Tax 0%","0.0","percent","sale","tax_group_export","base","invoice","+tax_export_0_base","","True","Thuế xuất khẩu 0%"
"","","","","","","","","","tax","invoice","+tax_export_0","chart3333","",""
"","","","","","","","","","base","refund","-tax_export_0_base","","",""
"","","","","","","","","","tax","refund","-tax_export_0","chart3333","",""
